iter	RMSE
0	14.00495791
1	13.1753592
2	12.35924825
3	11.58777209
4	10.91652512
5	10.33809092
6	9.80242275
7	9.361534675
8	8.946153864
9	8.534375134
10	8.170571469
11	7.879936927
12	7.614282714
13	7.391267501
14	7.153474864
15	6.968048845
16	6.7851876
17	6.616312321
18	6.442443853
19	6.304558451
20	6.193449711
21	6.095423828
22	5.999500236
23	5.91302855
24	5.839184695
25	5.787057694
26	5.718362834
27	5.668241521
28	5.614592817
29	5.560869291
30	5.518396442
31	5.477395262
32	5.431018599
33	5.401470576
34	5.36527138
35	5.335450868
36	5.309056657
37	5.291777264
38	5.268015196
39	5.247066468
40	5.23266038
41	5.214119611
42	5.19605317
43	5.179328936
44	5.165623803
45	5.152394129
46	5.127494704
47	5.111740867
48	5.09489559
49	5.075430024
50	5.058118426
51	5.039057059
52	5.028912101
53	5.011052267
54	4.99497855
55	4.989014427
56	4.970535308
57	4.953732285
58	4.939546601
59	4.932156652
60	4.919040348
61	4.907791179
62	4.897513616
63	4.887532438
64	4.880695152
65	4.864762107
66	4.850736065
67	4.844081432
68	4.834745734
69	4.824699127
70	4.816821468
71	4.802727984
72	4.792099732
73	4.780631251
74	4.768189291
75	4.757399296
76	4.75387075
77	4.7450457
78	4.731746019
79	4.714710604
80	4.712329781
81	4.701282071
82	4.692271733
83	4.68187086
84	4.678383341
85	4.66994175
86	4.659841883
87	4.64839031
88	4.639266307
89	4.632084458
90	4.621107105
91	4.606569473
92	4.595958778
93	4.58995706
94	4.573643712
95	4.564521683
96	4.557546516
97	4.555840838
98	4.540795639
99	4.537712533
