iter	Passed	Remaining
0	0	68
1	1	63
2	1	61
3	2	59
4	3	58
5	3	57
6	4	56
7	4	54
8	5	53
9	5	52
10	6	52
11	7	51
12	7	51
13	8	51
14	8	50
15	9	49
16	10	48
17	10	48
18	11	47
19	11	46
20	12	46
21	12	45
22	13	45
23	14	44
24	14	43
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	18	40
31	18	39
32	19	38
33	19	38
34	20	37
35	21	37
36	21	36
37	22	36
38	23	36
39	23	35
40	24	34
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	32	28
53	32	27
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	40	21
66	41	20
67	42	19
68	43	19
69	44	18
70	44	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	56	9
86	57	8
87	58	7
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
